id,hour,likes,likes_total
2Noise/ChatTTS,0,0,1592
2Noise/ChatTTS,1,0,1592
2Noise/ChatTTS,2,0,1592
2Noise/ChatTTS,3,0,1592
2Noise/ChatTTS,4,0,1592
2Noise/ChatTTS,5,0,1592
2Noise/ChatTTS,6,0,1592
2Noise/ChatTTS,7,0,1592
2Noise/ChatTTS,8,0,1592
2Noise/ChatTTS,9,0,1592
2Noise/ChatTTS,10,0,1592
2Noise/ChatTTS,11,0,1592
2Noise/ChatTTS,12,0,1592
2Noise/ChatTTS,13,0,1592
2Noise/ChatTTS,14,0,1592
2Noise/ChatTTS,15,0,1592
2Noise/ChatTTS,16,0,1592
2Noise/ChatTTS,17,0,1592
2Noise/ChatTTS,18,0,1592
2Noise/ChatTTS,19,0,1592
2Noise/ChatTTS,20,0,1592
2Noise/ChatTTS,21,0,1592
2Noise/ChatTTS,22,0,1592
2Noise/ChatTTS,23,0,1592
2Noise/ChatTTS,24,0,1592
2Noise/ChatTTS,25,0,1592
2Noise/ChatTTS,26,0,1592
2Noise/ChatTTS,27,0,1592
2Noise/ChatTTS,28,0,1592
2Noise/ChatTTS,29,0,1592
2Noise/ChatTTS,30,0,1592
2Noise/ChatTTS,31,0,1592
2Noise/ChatTTS,32,0,1592
2Noise/ChatTTS,33,0,1592
2Noise/ChatTTS,34,0,1592
2Noise/ChatTTS,35,0,1592
2Noise/ChatTTS,36,0,1592
2Noise/ChatTTS,37,0,1592
2Noise/ChatTTS,38,0,1592
2Noise/ChatTTS,39,0,1592
2Noise/ChatTTS,40,0,1592
2Noise/ChatTTS,41,0,1592
2Noise/ChatTTS,42,0,1592
2Noise/ChatTTS,43,0,1592
2Noise/ChatTTS,44,0,1592
2Noise/ChatTTS,45,0,1592
2Noise/ChatTTS,46,0,1592
2Noise/ChatTTS,47,0,1592
2Noise/ChatTTS,48,0,1592
BAAI/bge-m3,0,0,2248
BAAI/bge-m3,1,0,2248
BAAI/bge-m3,2,0,2248
BAAI/bge-m3,3,0,2248
BAAI/bge-m3,4,0,2248
BAAI/bge-m3,5,0,2248
BAAI/bge-m3,6,0,2248
BAAI/bge-m3,7,0,2248
BAAI/bge-m3,8,0,2248
BAAI/bge-m3,9,0,2248
BAAI/bge-m3,10,0,2248
BAAI/bge-m3,11,0,2248
BAAI/bge-m3,12,0,2248
BAAI/bge-m3,13,0,2248
BAAI/bge-m3,14,0,2248
BAAI/bge-m3,15,0,2248
BAAI/bge-m3,16,0,2248
BAAI/bge-m3,17,0,2248
BAAI/bge-m3,18,0,2248
BAAI/bge-m3,19,0,2248
BAAI/bge-m3,20,0,2248
BAAI/bge-m3,21,0,2248
BAAI/bge-m3,22,0,2248
BAAI/bge-m3,23,0,2248
BAAI/bge-m3,24,0,2248
BAAI/bge-m3,25,0,2248
BAAI/bge-m3,26,0,2248
BAAI/bge-m3,27,0,2248
BAAI/bge-m3,28,0,2248
BAAI/bge-m3,29,0,2248
BAAI/bge-m3,30,0,2248
BAAI/bge-m3,31,0,2248
BAAI/bge-m3,32,0,2248
BAAI/bge-m3,33,0,2248
BAAI/bge-m3,34,0,2248
BAAI/bge-m3,35,1,2249
BAAI/bge-m3,36,0,2249
BAAI/bge-m3,37,0,2249
BAAI/bge-m3,38,0,2249
BAAI/bge-m3,39,0,2249
BAAI/bge-m3,40,0,2249
BAAI/bge-m3,41,0,2249
BAAI/bge-m3,42,0,2249
BAAI/bge-m3,43,0,2249
BAAI/bge-m3,44,0,2249
BAAI/bge-m3,45,1,2250
BAAI/bge-m3,46,0,2250
BAAI/bge-m3,47,0,2250
BAAI/bge-m3,48,0,2250
ByteDance/SDXL-Lightning,0,0,2059
ByteDance/SDXL-Lightning,1,0,2059
ByteDance/SDXL-Lightning,2,0,2059
ByteDance/SDXL-Lightning,3,0,2059
ByteDance/SDXL-Lightning,4,0,2059
ByteDance/SDXL-Lightning,5,0,2059
ByteDance/SDXL-Lightning,6,0,2059
ByteDance/SDXL-Lightning,7,0,2059
ByteDance/SDXL-Lightning,8,0,2059
ByteDance/SDXL-Lightning,9,0,2059
ByteDance/SDXL-Lightning,10,0,2059
ByteDance/SDXL-Lightning,11,0,2059
ByteDance/SDXL-Lightning,12,0,2059
ByteDance/SDXL-Lightning,13,0,2059
